l1x, l1y, l1z, l2x, l2y, l2z, l3x, l3y, l3z, l4x, l4y, l4z, l5x, l5y, l5z, l6x, l6y, l6z 
287.408, -30.1519, -269.999, 112.791, 272.294, -261.568, -117.592, 203.675, -270.001, -292.209, 38.4676, -261.568, -117.592, -263.979, -269.999, 112.791, -195.359, -261.568, 
288.971, -32.8596, -269.999, 111.772, 274.059, -264.53, -116.029, 200.967, -270.001, -293.228, 40.2319, -264.53, -116.028, -266.686, -269.999, 111.772, -193.595, -264.53, 
290.642, -35.7536, -269.999, 110.931, 275.515, -267.075, -114.358, 198.073, -270.001, -294.069, 41.6883, -267.075, -114.357, -269.58, -269.999, 110.931, -192.138, -267.075, 
291.585, -37.3867, -269.999, 110.573, 276.135, -268.186, -113.415, 196.44, -270.001, -294.426, 42.3083, -268.186, -113.415, -271.213, -269.999, 110.573, -191.518, -268.186, 
292.37, -38.7464, -269.999, 110.34, 276.538, -268.917, -112.63, 195.08, -270.001, -294.659, 42.7114, -268.917, -112.63, -272.573, -269.999, 110.34, -191.115, -268.917, 
293.38, -40.4963, -269.999, 110.129, 276.904, -269.587, -111.619, 193.331, -270.001, -294.87, 43.0772, -269.587, -111.619, -274.323, -269.999, 110.129, -190.75, -269.587, 
294.04, -41.6397, -269.999, 110.045, 277.049, -269.854, -110.959, 192.187, -270.001, -294.954, 43.2225, -269.854, -110.959, -275.466, -269.999, 110.045, -190.604, -269.854, 
294.795, -42.9474, -269.999, 110.002, 277.124, -269.993, -110.204, 190.879, -270.001, -294.998, 43.2976, -269.993, -110.204, -276.774, -269.999, 110.002, -190.529, -269.993, 
294.974, -43.2569, -269.918, 110.72, 275.881, -270.001, -110.026, 190.57, -269.919, -294.28, 42.0544, -270.001, -110.025, -277.084, -269.918, 110.72, -191.773, -269.999, 
294.881, -43.0941, -269.619, 111.558, 274.431, -270.001, -110.12, 190.733, -269.619, -293.443, 40.6035, -270.001, -110.12, -276.921, -269.619, 111.558, -193.223, -269.999, 
294.713, -42.8032, -269.086, 112.417, 272.943, -270.001, -110.288, 191.024, -269.085, -292.584, 39.1158, -270.001, -110.288, -276.63, -269.086, 112.417, -194.711, -269.999, 
294.33, -42.1402, -267.884, 113.694, 270.73, -270.001, -110.67, 191.687, -267.884, -291.306, 36.903, -270.001, -110.67, -275.967, -267.884, 113.694, -196.924, -269.999, 
293.425, -40.5731, -265.119, 115.68, 267.291, -270.001, -111.575, 193.254, -265.119, -289.32, 33.4636, -270.001, -111.575, -274.4, -265.119, 115.68, -200.363, -269.999, 
